,tailnum,type,manufacturer,issue_date,model,status,aircraft_type,engine_type,PlaneYear
2335,N598AA,Corporation,MCDONNELL DOUGLAS,07/28/1992,DC-9-83(MD-83),Valid,Fixed Wing Multi-Engine,Turbo-Fan,1992
2336,N598HA,Corporation,BOEING,04/06/2006,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1986
2337,N598JB,Corporation,AIRBUS,11/18/2004,A320-232,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
2338,N598UA,Corporation,BOEING,01/28/1999,757-222,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1999
2339,N599AA,Corporation,MCDONNELL DOUGLAS,07/23/1992,DC-9-83(MD-83),Valid,Fixed Wing Multi-Engine,Turbo-Fan,1992
2340,N599JB,Corporation,AIRBUS,12/15/2004,A320-232,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
2341,N600TR,Corporation,MCDONNELL DOUGLAS,03/01/1995,DC-9-51,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1979
2342,N600WN,Corporation,BOEING,05/13/2004,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1995
2343,N601AW,Corporation,AIRBUS,12/05/2003,A320-232,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
2344,N601DL,Corporation,BOEING,03/27/1985,757-232,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1985
2345,N601WN,Corporation,BOEING,05/13/2004,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1995
2346,N602DL,Corporation,BOEING,06/20/2007,757-232,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1984
2347,N602NW,Corporation,MCDONNELL DOUGLAS,06/03/2008,DC-9-32,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1967
2348,N602SW,Corporation,BOEING,05/13/2004,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1995
2349,N603AT,Corporation,BOEING,08/14/2001,717-200,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
2350,N603AW,Corporation,AIRBUS,02/18/2004,A320-232,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1997
2351,N603DL,Corporation,BOEING,06/15/2007,757-232,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1984
2352,N603JB,Corporation,AIRBUS,01/12/2005,A320-232,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
2353,N603SK,Corporation,BOMBARDIER INC,01/30/2007,CL-600-2C10,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006
2354,N603SW,Corporation,BOEING,07/19/2004,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1995
